PAIS,CONTINENTE,population_year,POBLACION,PAIS (grupos)
Afghanistan,Asia,2020,38928341,Otros
Albania,Europe,2020,2877800,Otros
Algeria,Africa,2020,43851043,Otros
Andorra,Europe,2020,77265,Otros
Angola,Africa,2020,32866268,Otros
Anguilla,North America,2020,15002,Otros
Antigua_and_Barbuda,North America,2020,97928,Otros
Argentina,South America,2020,45195777,Otros
Armenia,Asia,2020,2963234,Otros
Aruba,North America,2020,106766,Otros
Australia,Oceania,2020,25499881,Otros
Austria,Europe,2020,9006400,Otros
Azerbaijan,Asia,2020,10139175,Otros
Bahamas,North America,2020,393248,Otros
Bahrain,Asia,2020,1701583,Otros
Bangladesh,Asia,2020,164689383,Otros
Barbados,North America,2020,287371,Otros
Belarus,Europe,2020,9449321,Otros
Belgium,Europe,2020,11589616,Otros
Belize,North America,2020,397621,Otros
Benin,Africa,2020,12123198,Otros
Bermuda,North America,2020,62273,Otros
Bhutan,Asia,2020,771612,Otros
Bolivia,South America,2020,11673029,Otros
"Bonaire, Saint Eustatius and Saba",North America,2020,26221,Otros
Bosnia_and_Herzegovina,Europe,2020,3280815,Otros
Botswana,Africa,2020,2351625,Otros
Brazil,South America,2020,212559409,Brazil & Colombia & India & Russia & US
British_Virgin_Islands,North America,2020,30237,Otros
Brunei_Darussalam,Asia,2020,437483,Otros
Bulgaria,Europe,2020,6948445,Otros
Burkina_Faso,Africa,2020,20903278,Otros
Burundi,Africa,2020,11890781,Otros
Cambodia,Asia,2020,16718971,Otros
Cameroon,Africa,2020,26545864,Otros
Canada,North America,2020,37742157,Otros
Cape_Verde,Africa,2020,555988,Otros
Cayman_Islands,North America,2020,65720,Otros
Central_African_Republic,Africa,2020,4829764,Otros
Chad,Africa,2020,16425859,Otros
Chile,South America,2020,19116209,Otros
China,Asia,2020,1439323774,Otros
Colombia,South America,2020,50882884,Brazil & Colombia & India & Russia & US
Comoros,Africa,2020,869595,Otros
Congo,Africa,2020,5518092,Otros
Costa_Rica,North America,2020,5094114,Otros
Cote_dIvoire,Africa,2020,26378275,Otros
Croatia,Europe,2020,4105268,Otros
Cuba,North America,2020,11326616,Otros
Curaçao,North America,2020,164100,Otros
Cyprus,Europe,2020,875899,Otros
Czechia,Europe,2020,10708982,Otros
Democratic_Republic_of_the_Congo,Africa,2020,89561404,Otros
Denmark,Europe,2020,5792203,Otros
Djibouti,Africa,2020,988002,Otros
Dominica,North America,2020,71991,Otros
Dominican_Republic,North America,2020,10847904,Otros
Ecuador,South America,2020,17643060,Otros
Egypt,Africa,2020,102334403,Otros
El_Salvador,North America,2020,6486201,Otros
Equatorial_Guinea,Africa,2020,1402985,Otros
Eritrea,Africa,2020,3546427,Otros
Estonia,Europe,2020,1326539,Otros
Eswatini,Africa,2020,1160164,Otros
Ethiopia,Africa,2020,114963583,Otros
Falkland_Islands_(Malvinas),South America,2020,3483,Otros
Faroe_Islands,Europe,2020,48865,Otros
Fiji,Oceania,2020,896444,Otros
Finland,Europe,2020,5540718,Otros
France,Europe,2020,65273512,Otros
French_Polynesia,Oceania,2020,280904,Otros
Gabon,Africa,2020,2225728,Otros
Gambia,Africa,2020,2416664,Otros
Georgia,Asia,2020,3989175,Otros
Germany,Europe,2020,83783945,Otros
Ghana,Africa,2020,31072945,Otros
Gibraltar,Europe,2020,33691,Otros
Greece,Europe,2020,10423056,Otros
Greenland,North America,2020,56772,Otros
Grenada,North America,2020,112519,Otros
Guam,Oceania,2020,168783,Otros
Guatemala,North America,2020,17915567,Otros
Guernsey,Europe,2020,67052,Otros
Guinea,Africa,2020,13132792,Otros
Guinea_Bissau,Africa,2020,1967998,Otros
Guyana,South America,2020,786559,Otros
Haiti,North America,2020,11402533,Otros
Holy_See,Europe,2020,809,Otros
Honduras,North America,2020,9904608,Otros
Hungary,Europe,2020,9660350,Otros
Iceland,Europe,2020,341250,Otros
India,Asia,2020,1380004385,Brazil & Colombia & India & Russia & US
